cid,name,place_type,street_name,street_number,district,city,state,zipcode,phone,rating,rating_count,is_operational,latitude,longitude
100001,Padaria Pão de Mel,bakery,R. dos Pinheiros,123,Pinheiros,São Paulo,SP,05422-010,(11) 3082-1111,4.5,234,true,-23.5624,-46.6899
100002,Sabor da Terra,restaurant,Rua Cardeal Arcoverde,456,Pinheiros,São Paulo,SP,05407003,(11) 3082-2222,4.2,189,true,-23.5648,-46.6867
100003,Família Supermercado Pinheiros,supermarket,Rua Mourato Coelho,789,Pinheiros,São Paulo,SP,05417-010,(11) 3083-3333,4.1,312,true,-23.5597,-46.6875
100004,Pizza Express,pizza_restaurant,R. Wisard,332A,Vila Madalena,São Paulo,SP,05434080,(11) 3815-4444,4.4,567,true,-23.5575,-46.6897
100005,Bar do Zé,bar,R. Harmonia,654,Vila Madalena,São Paulo,SP,05435000,(11) 9999-5555,4.6,892,true,-23.5582,-46.6869
100006,Farmácia Bem Viver,pharmacy,Rua dos Pinheiros,567,Pinheiros,São Paulo,SP,05422030,(11) 3082-6666,4.3,145,true,-23.5631,-46.6893
100007,Açougue Bom Corte,butcher_shop,Rua Teodoro Sampaio,890,Pinheiros,São Paulo,SP,05405-050,(11) 3064-7777,4.0,78,true,-23.5631,-46.6848
100008,Sorveteria Gelato Fino,ice_cream_shop,R. dos Pinheiros,111,Pinheiros,São Paulo,SP,05422005,,3.2,45,false,-23.5617,-46.6899
100009,Cafe Arte,cafe,R. Aspicuelta,180,Vila Madalena,São Paulo,SP,05433-010,(11) 3032-9999,4.7,678,true,-23.5567,-46.6880
100010,Mercadinho do Bairro Pinheiros,convenience_store,Rua Cardeal Arcoverde,1100,Pinheiros,São Paulo,SP,05407010,(11) 3083-1010,4.2,234,true,-23.5645,-46.6860
100011,Sushi Hana,japanese_restaurant,R. Wisard,508,Vila Madalena,São Paulo,SP,05434050,(11) 3815-1111,4.8,923,true,-23.5572,-46.6899
100012,Hamburgueria Artesanal,hamburger_restaurant,R. Fradique Coutinho,320,Vila Madalena,São Paulo,SP,05422130,(11) 9888-1212,4.5,456,true,-23.5581,-46.6912
100013,Gaúcha Churrascaria,steak_house,Rua Teodoro Sampaio,1340,Pinheiros,São Paulo,SP,05406-020,(11) 3064-1313,4.3,567,true,-23.5640,-46.6832
