slug,name,category,cnpj,street_name,street_number,complement,district,city,state,zipcode,phone,latitude,longitude
padaria-pao-de-mel,Padaria Pão de Mel,Padaria,12345678000190,Rua dos Pinheiros,123,,Pinheiros,São Paulo,SP,05422010,(11) 3082-1111,-23.5624,-46.6899
sabor-da-terra-pinheiros,Sabor da Terra,Brasileira,23456789000101,Rua Cardeal Arcoverde,456,Sala 1,Pinheiros,São Paulo,SP,05407003,(11) 3082-2222,-23.5648,-46.6867
supermercado-familia-pinheiros,Supermercado Família,Mercado,34567890000112,Rua Mourato Coelho,789,,Pinheiros,São Paulo,SP,05417-010,(11) 3083-3333,-23.5597,-46.6875
pizza-express-vila-madalena,Pizza Express,Pizza,45678901000123,R. Wisard,332,Loja A,Vila Madalena,São Paulo,SP,05434080,(11) 3815-4444,-23.5575,-46.6897
bar-do-ze,Bar do Zé,Bar,,Rua Harmonia,654,,Vila Madalena,São Paulo,SP,05435000,(11) 9999-5555,-23.5582,-46.6869
lanchonete-delicia,Lanchonete Delícia,Lanches,67890123000145,Rua Artur de Azevedo,234,,Cerqueira César,São Paulo,SP,05404010,(11) 9777-0607,-23.5639,-46.6843
bom-corte-acougue,Bom Corte Açougue,Açougue,78901234000156,Rua Teodoro Sampaio,890,,Pinheiros,São Paulo,SP,05405050,(11) 3064-7777,-23.5631,-46.6848
arte-cafe-vila-madalena,Arte Café,Café,90123456000178,R. Aspicuelta,180,,Vila Madalena,São Paulo,SP,05433010,(11) 3032-9999,-23.5567,-46.6880
sushi-hana,Sushi Hana,Japonesa,11222333000190,Rua Wisard,508,,Vila Madalena,São Paulo,SP,05434-050,(11) 3815-1111,-23.5572,-46.6899
hamburgueria-artesanal,Hamburgueria Artesanal,Hambúrguer,,R. Fradique Coutinho,320,,Vila Madalena,São Paulo,SP,05422130,(11) 9888-1212,-23.5581,-46.6912
churrascaria-gaucha-pinheiros,Churrascaria Gaúcha,Churrascaria,33444555000112,Rua Teodoro Sampaio,1340,,Pinheiros,São Paulo,SP,05406020,(11) 3064-1313,-23.5640,-46.6832
doce-sabor-confeitaria,Doce Sabor,Doces e Bolos,55666777000134,R. Artur de Azevedo,456,Loja 2,Cerqueira César,São Paulo,SP,05404020,(11) 3088-1515,-23.5639,-46.6843
emporio-natural-pinheiros,Empório Natural,Mercado,66777888000145,Rua Mourato Coelho,678,,Pinheiros,São Paulo,SP,05417015,(11) 9765-1818,-23.5601,-46.6875
